Date,Box_Name,Group_Name,Client_Type,Active_Users,Total_Chat_Conversations,Total_Messages,Total_Credits_Used,Total_Overage_Credits_Used,Auto_messages,Claude_Opus_4.6_messages,Claude_Sonnet_4.6_messages,DeepSeek_V3.2_messages,Qwen3_Coder_Next_messages
2026-04-01,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,2,19,7.64,0.0,5,2,5,3,4
2026-04-01,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,22,196,108.18,0.0,42,36,58,25,35
2026-04-01,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,3,26,9.91,0.0,8,1,7,5,5
2026-04-01,Payments Transformation,Payments Modernization Team,KIRO_IDE,3,22,186,93.6,0.0,48,24,58,27,29
2026-04-01,Payments Transformation,Payments Modernization Team,PLUGIN,1,3,20,9.11,0.0,5,4,6,2,3
2026-04-01,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,2,8,60,23.97,0.0,16,4,16,11,13
2026-04-01,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,5,38,15.93,0.0,11,2,10,7,8
2026-04-01,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,3,18,6.14,0.0,5,1,4,4,4
2026-04-01,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,9,71,29.63,0.0,18,5,19,16,13
2026-04-02,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,6,53,26.77,0.0,11,12,16,6,8
2026-04-02,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,3,26,215,117.75,0.0,45,39,64,28,39
2026-04-02,Payments Transformation,Payments Modernization Team,KIRO_CLI,2,9,76,35.34,0.0,21,10,23,10,12
2026-04-02,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,11,92,52.92,0.0,24,17,29,9,13
2026-04-02,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,1,6,41,15.99,0.0,10,3,12,8,8
2026-04-02,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,7,56,24.18,0.0,15,4,16,10,11
2026-04-02,Retail Intelligence,Retail Analytics Team,KIRO_IDE,2,11,78,34.08,0.0,20,6,20,17,15
2026-04-03,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,4,23,10.42,0.0,5,3,7,3,5
2026-04-03,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,13,116,63.27,0.0,25,21,35,14,21
2026-04-03,Payments Transformation,Payments Modernization Team,KIRO_IDE,2,17,134,70.71,0.0,36,19,41,17,21
2026-04-03,Platform Reliability,Platform Reliability Engineering,KIRO_CLI,1,2,14,5.3,0.0,4,1,3,2,4
2026-04-03,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,1,6,35,15.58,0.0,9,3,10,6,7
2026-04-03,Retail Intelligence,Retail Analytics Team,KIRO_IDE,1,4,30,13.93,0.0,7,3,8,7,5
2026-04-04,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_CLI,1,2,21,11.66,0.0,4,5,7,2,3
2026-04-04,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,1,6,40,23.03,0.0,8,9,12,5,6
2026-04-04,Payments Transformation,Payments Modernization Team,KIRO_CLI,1,2,14,6.11,0.0,3,1,5,3,2
2026-04-04,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,5,33,18.32,0.0,9,6,10,3,5
2026-04-04,Platform Reliability,Platform Reliability Engineering,KIRO_IDE,2,3,21,8.59,0.0,6,1,5,4,5
2026-04-04,Retail Intelligence,Retail Analytics Team,KIRO_CLI,1,1,7,2.36,0.0,2,0,2,2,1
2026-04-05,AI Delivery Acceleration,AI SDLC Enablement Team,KIRO_IDE,2,4,36,19.83,0.0,7,7,11,4,7
2026-04-05,Payments Transformation,Payments Modernization Team,KIRO_IDE,1,3,23,12.29,0.0,6,4,8,2,3
