Date,UserId,Client_Type,Chat_Conversations,Credits_Used,Overage_Cap,Overage_Credits_Used,Overage_Enabled,ProfileId,Subscription_Tier,Total_Messages,Auto_messages,Claude_Opus_4.6_messages,Claude_Sonnet_4.6_messages,DeepSeek_V3.2_messages,Qwen3_Coder_Next_messages,New_User
2026-04-01,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_IDE,10,48.05,3000.0,0.0,true,kiro-profile-prod-use1,Power,88,23,16,28,9,12,false
2026-04-01,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,KIRO_IDE,5,18.87,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,44,10,4,12,10,8,false
2026-04-01,d-92675051d5.3b537ba7-2c3b-4a6c-aec6-61e594bd1109,KIRO_IDE,2,6.87,1000.0,0.0,false,kiro-profile-prod-use1,Pro,16,5,1,4,3,3,false
2026-04-01,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_IDE,4,10.76,1000.0,0.0,false,kiro-profile-prod-use1,Pro,27,8,1,7,6,5,false
2026-04-01,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,KIRO_IDE,5,21.14,1000.0,0.0,false,kiro-profile-prod-use1,Pro,44,10,5,13,7,9,false
2026-04-01,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,KIRO_IDE,3,9.06,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,22,6,1,6,4,5,false
2026-04-01,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,KIRO_IDE,6,27.08,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,54,12,5,19,10,8,false
2026-04-01,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,KIRO_IDE,6,25.59,950.0,0.0,true,kiro-profile-prod-use1,ProPlus,48,11,8,13,7,9,false
2026-04-01,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,KIRO_IDE,11,61.45,3200.0,0.0,true,kiro-profile-prod-use1,Power,104,21,23,32,11,17,false
2026-04-01,d-92675051d5.f12818d1-8f2c-4d54-9188-4f7224a4d103,KIRO_IDE,6,18.47,1000.0,0.0,false,kiro-profile-prod-use1,Pro,44,13,3,11,8,9,false
2026-04-02,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,KIRO_IDE,11,52.92,3000.0,0.0,true,kiro-profile-prod-use1,Power,92,24,17,29,9,13,false
2026-04-02,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,KIRO_IDE,7,20.33,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,43,10,4,12,9,8,false
2026-04-02,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,KIRO_IDE,4,13.75,1000.0,0.0,false,kiro-profile-prod-use1,Pro,35,10,2,8,8,7,false
2026-04-02,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,KIRO_IDE,7,25.57,1000.0,0.0,false,kiro-profile-prod-use1,Pro,52,12,6,15,8,11,false
