Date,UserId,Client_Type,Chat_Conversations,Credits_Used,Overage_Cap,Overage_Credits_Used,Overage_Enabled,ProfileId,Subscription_Tier,Total_Messages,Auto_messages,Claude_Opus_4.6_messages,Claude_Sonnet_4.6_messages,DeepSeek_V3.2_messages,Qwen3_Coder_Next_messages,New_User
2026-04-01,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,3,9.11,3000.0,0.0,true,kiro-profile-prod-use1,Power,20,5,4,6,2,3,false
2026-04-06,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,PLUGIN,1,1.18,1000.0,0.0,false,kiro-profile-prod-use1,Pro,4,1,0,1,1,1,false
2026-04-07,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,PLUGIN,1,3.15,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,8,2,1,2,2,1,false
2026-04-07,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,PLUGIN,1,1.17,1000.0,0.0,false,kiro-profile-prod-use1,Pro,4,1,0,1,1,1,false
2026-04-07,d-92675051d5.797d1e6c-6d5f-41a9-8dc7-53d2ef14e102,PLUGIN,2,4.72,850.0,0.0,true,kiro-profile-prod-use1,ProPlus,12,3,1,4,2,2,false
2026-04-07,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,PLUGIN,1,4.58,950.0,0.0,true,kiro-profile-prod-use1,ProPlus,11,2,2,3,2,2,false
2026-04-08,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,PLUGIN,1,3.19,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,9,2,1,2,2,2,false
2026-04-08,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,PLUGIN,1,3.87,1000.0,0.0,false,kiro-profile-prod-use1,Pro,10,2,1,3,2,2,false
2026-04-09,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,PLUGIN,1,1.11,1000.0,0.0,false,kiro-profile-prod-use1,Pro,4,1,0,1,1,1,false
2026-04-09,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,PLUGIN,1,3.94,1000.0,0.0,false,kiro-profile-prod-use1,Pro,10,2,1,3,2,2,false
2026-04-10,d-92675051d5.6273ba8a-bb02-425f-b443-3d4dcb2c9108,PLUGIN,1,1.1,700.0,0.0,true,kiro-profile-prod-use1,ProPlus,4,1,0,1,1,1,false
2026-04-10,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,PLUGIN,2,6.81,3200.0,0.0,true,kiro-profile-prod-use1,Power,15,3,3,5,2,2,false
2026-04-12,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,PLUGIN,1,1.22,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,4,1,0,1,1,1,false
2026-04-12,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,PLUGIN,1,1.14,1000.0,0.0,false,kiro-profile-prod-use1,Pro,4,1,0,1,1,1,false
2026-04-13,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,2,7.98,3000.0,0.0,true,kiro-profile-prod-use1,Power,19,5,3,6,2,3,false
2026-04-13,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,PLUGIN,1,3.03,950.0,0.0,true,kiro-profile-prod-use1,ProPlus,8,2,1,2,1,2,false
2026-04-14,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,PLUGIN,1,3.03,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,8,2,1,2,2,1,false
2026-04-15,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,PLUGIN,1,3.73,950.0,0.0,true,kiro-profile-prod-use1,ProPlus,9,2,1,3,1,2,false
2026-04-16,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,3,9.63,3000.0,0.0,true,kiro-profile-prod-use1,Power,22,6,4,7,2,3,false
2026-04-16,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,PLUGIN,1,2.94,1000.0,0.0,false,kiro-profile-prod-use1,Pro,7,2,1,2,1,1,false
2026-04-17,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,2,7.24,3000.0,0.0,true,kiro-profile-prod-use1,Power,16,4,3,5,2,2,false
2026-04-17,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,PLUGIN,1,3.78,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,10,2,1,3,2,2,false
2026-04-17,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,PLUGIN,1,2.64,1000.0,0.0,false,kiro-profile-prod-use1,Pro,6,1,1,2,1,1,false
2026-04-18,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,PLUGIN,1,1.11,1000.0,0.0,false,kiro-profile-prod-use1,Pro,4,1,0,1,1,1,false
2026-04-20,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,2,9.07,3000.0,0.0,true,kiro-profile-prod-use1,Power,20,5,4,6,2,3,false
2026-04-20,d-92675051d5.838f6b85-1e72-4404-a193-f1b0dc79d107,PLUGIN,1,1.7,2500.0,0.0,true,kiro-profile-prod-use1,Power,5,1,0,2,1,1,false
2026-04-21,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,PLUGIN,1,1.35,1000.0,0.0,false,kiro-profile-prod-use1,Pro,5,2,0,1,1,1,false
2026-04-21,d-92675051d5.9b1ac779-7da0-470f-bfd8-fba1849ca111,PLUGIN,2,5.81,950.0,0.0,true,kiro-profile-prod-use1,ProPlus,14,3,2,4,2,3,false
2026-04-21,d-92675051d5.a9a3e94b-b147-4fb7-9934-f5ea941fd110,PLUGIN,4,12.05,3200.0,0.0,true,kiro-profile-prod-use1,Power,26,5,6,8,3,4,false
2026-04-22,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,4,11.73,3000.0,0.0,true,kiro-profile-prod-use1,Power,27,7,5,8,3,4,false
2026-04-23,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,3,10.03,3000.0,0.0,true,kiro-profile-prod-use1,Power,22,6,4,7,2,3,false
2026-04-23,d-92675051d5.4a0a1ddb-32de-4237-b40f-cbc81f6ae105,PLUGIN,1,1.32,1000.0,0.0,false,kiro-profile-prod-use1,Pro,5,2,0,1,1,1,false
2026-04-24,d-92675051d5.59888cc4-2dac-4454-a84e-b7968ad4e112,PLUGIN,1,3.53,1000.0,0.0,false,kiro-profile-prod-use1,Pro,9,2,1,3,1,2,false
2026-04-27,d-92675051d5.0ec463de-81c2-4f79-9d4c-029f7bb0f101,PLUGIN,3,9.24,3000.0,0.0,true,kiro-profile-prod-use1,Power,20,5,4,6,2,3,false
2026-04-27,d-92675051d5.7f1ccf95-18df-4d5f-9d1b-7155a1be8114,PLUGIN,1,1.08,2000.0,0.0,false,kiro-profile-prod-use1,ProPlus,4,1,0,1,1,1,false
2026-04-28,d-92675051d5.33a7a52f-dbf7-4f6b-89c9-43d30a61e104,PLUGIN,2,4.09,900.0,0.0,true,kiro-profile-prod-use1,ProPlus,12,3,1,3,3,2,false
